Title,Director,Cast,Genre,comb
mrugaraju,Gunasekhar,"Chiranjeevi, Simran, Nagendra Babu",Action,"Gunasekhar Chiranjeevi, Simran, Nagendra Babu Action"
railway coolie,Kodi Ramakrishna,"Mammootty, Meena, Harish",Action,"Kodi Ramakrishna Mammootty, Meena, Harish Action"
eduruleni manishi,Srinivasa Rao,"Akkineni Nagarjuna, Soundarya, Shenaz Treasurywala",Action,"Srinivasa Rao Akkineni Nagarjuna, Soundarya, Shenaz Treasurywala Action"
murari,Krishna Vamsi,"Mahesh Babu, Sonali Bendre",Romance,"Krishna Vamsi Mahesh Babu, Sonali Bendre Romance"
akka bavekkada,Raja Vannem Reddy,"J. D. Chakravarthy, Raasi",Romance,"Raja Vannem Reddy J. D. Chakravarthy, Raasi Romance"
preminchu,Boyani Subbarao,"Sai Kiran, Laya",Drama,"Boyani Subbarao Sai Kiran, Laya Drama"
kalisi naduddam,Kodi Ramakrishna,"Srikanth, Soundarya, Rama Prabha, Brahmanandam",Drama,"Kodi Ramakrishna Srikanth, Soundarya, Rama Prabha, Brahmanandam Drama"
vechi vunta,Sriram Murthy,"Raja, Uttej, Krishna Bhagavaan",Romance,"Sriram Murthy Raja, Uttej, Krishna Bhagavaan Romance"
sri manjunatha,K. Raghavendra Rao,"Arjun, Soundarya, Chiranjeevi, Meena Durairaj",Devotional,"K. Raghavendra Rao Arjun, Soundarya, Chiranjeevi, Meena Durairaj Devotional"
bhalevadivi basu,P. A. Arun Prasad,"Balakrishna Nandamuri, Shilpa Shetty, Anjala Zaveri",Romance,"P. A. Arun Prasad Balakrishna Nandamuri, Shilpa Shetty, Anjala Zaveri Romance"
bava nachadu,KS Ravikumar,"Akkineni Nagarjuna, Simran, Reema Sen",Romance,"KS Ravikumar Akkineni Nagarjuna, Simran, Reema Sen Romance"
family circus,Teja,"Jagapati Babu, Rajendra Prasad, Roja",Comedy,"Teja Jagapati Babu, Rajendra Prasad, Roja Comedy"
