Title,Director,Cast,Genre,comb
ishta sakhi,Bharat Parepalli,"Varun, Bhaskar, Sriram, Anusmrithi",Romance,"Bharat Parepalli Varun, Bhaskar, Sriram, Anusmrithi Romance"
natho nenu,Rahul Singh Kagwal,Jai Akash,Drama,Rahul Singh Kagwal Jai Akash Drama
pranaya veedhullo,Prabhakar Jaini,"Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun",Romantic comedy,"Prabhakar Jaini Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun Romantic comedy"
adda,Sai Karthik,"Sushanth, Shanvi Srivastava, Raghu Babu, Kota Srinivasa Rao, Dev Gill",Action,"Sai Karthik Sushanth, Shanvi Srivastava, Raghu Babu, Kota Srinivasa Rao, Dev Gill Action"
dhoom 3,unknown,Dhoom 3,Hindi,unknown Dhoom 3 Hindi
gatham,B S Raju,"Yuvraraj Sagar, Soumya, Hema, Shwetha, Harsha, Shafir",Romance,"B S Raju Yuvraraj Sagar, Soumya, Hema, Shwetha, Harsha, Shafir Romance"
dalam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore, Nassar",Action,"Jeevan Reddy Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore, Nassar Action"
uyyala jampala,Virinchi Varma,"Raj Tarun, Avika Gor, Punarnavi, Peela Gangadhar",Romance,"Virinchi Varma Raj Tarun, Avika Gor, Punarnavi, Peela Gangadhar Romance"
abbayi class ammayi mass,Koneti Srinu,"Varun Sandesh, katrina kaif, Ali",Romance,"Koneti Srinu Varun Sandesh, katrina kaif, Ali Romance"
pusthakamlo konni pageelu missing,Sajid Qureshi,"Sree, Supraja, Rahul, Satish, Masth Ali",Black comedy,"Sajid Qureshi Sree, Supraja, Rahul, Satish, Masth Ali Black comedy"
4th,Sevakudu,V. Samudra,"Srikanth, Charmy Kaur, Krishna, Manjula Swaroop","Sevakudu V. Samudra Srikanth, Charmy Kaur, Krishna, Manjula Swaroop"
bullabbai,Yuvaraju,"Krishnudu, Brahmanandam, Shravani",Romantic comedy,"Yuvaraju Krishnudu, Brahmanandam, Shravani Romantic comedy"
race,Ramesh Raparthi,"Vikram, Karthik, Bharat Kishore, Disha Pandey, Nikitha Narayanan",Romance,"Ramesh Raparthi Vikram, Karthik, Bharat Kishore, Disha Pandey, Nikitha Narayanan Romance"
mahankali,Jeevitha Rajasekhar,"Rajasekhar, Madhurima, Pradeep Rawat",Action,"Jeevitha Rajasekhar Rajasekhar, Madhurima, Pradeep Rawat Action"
backbench student,Madhura Sreedhar Reddy,"Mahat Raghavendra, Piaa Bajpai, Archana Jose Kavi",Romance,"Madhura Sreedhar Reddy Mahat Raghavendra, Piaa Bajpai, Archana Jose Kavi Romance"
rai rai,Sudhir Raju,"Sri, Aksha",Romance,"Sudhir Raju Sri, Aksha Romance"
swamy satyananda,Madan Patel,"Ravi Chetan, Neha, Anku, Madan Patel",Satire,"Madan Patel Ravi Chetan, Neha, Anku, Madan Patel Satire"
priyathama neevachata kushalama,Trinadha Rao Nakkina,"Varun Sandesh, Hasika, Komal Jha",Romance,"Trinadha Rao Nakkina Varun Sandesh, Hasika, Komal Jha Romance"
jaffa,Vennela Kishore,"Brahmanandam, Ali (actor)",Comedy,"Vennela Kishore Brahmanandam, Ali (actor) Comedy"
telugabbai,Vo Yes Avinash,"Tanish, Remya Nambeesan, Tashu Kaushik, Naga Babu, Sona Nair",Romance,"Vo Yes Avinash Tanish, Remya Nambeesan, Tashu Kaushik, Naga Babu, Sona Nair Romance"
gouravam,Radha Mohan,"Allu Sirish, Yami Gautam, Prakash Raj, Nassar",Drama/ Action,"Radha Mohan Allu Sirish, Yami Gautam, Prakash Raj, Nassar Drama/ Action"
love touch,Sri Chand,Jayanth and Dhruthi,Romance,Sri Chand Jayanth and Dhruthi Romance
chemistry,Vachespathy Jonnalagadda,"Sree Ram, Amitha Rao",Romance,"Vachespathy Jonnalagadda Sree Ram, Amitha Rao Romance"
theatre lo naluguru,Srinivasa Raju Dendukuri,"Srikanth Raghava, Dheeraj, Swetha Pandit, Varun Abhinay",Thriller,"Srinivasa Raju Dendukuri Srikanth Raghava, Dheeraj, Swetha Pandit, Varun Abhinay Thriller"
moksha,Srikanth Vemulapalli,"Meera Jasmine, Rajeev Mohan, Disha Pandey, Nassar",Horror,"Srikanth Vemulapalli Meera Jasmine, Rajeev Mohan, Disha Pandey, Nassar Horror"
oh my love,M J Reddy,"Raja, Nisha",Romance,"M J Reddy Raja, Nisha Romance"
operation dhuryodhana 2,Nandam Srinivasa Rao,"Jagapathi Babu, Posani Krishna Murali, Shayaji Shinde, Babu Mohan",Political drama,"Nandam Srinivasa Rao Jagapathi Babu, Posani Krishna Murali, Shayaji Shinde, Babu Mohan Political drama"
pelli pustakam,Ramakrishna Machakanti,"Rahul, Neethi Taylor",Romance,"Ramakrishna Machakanti Rahul, Neethi Taylor Romance"
vasool raja,Karthika Gopalakrishnan,"Navdeep, Srihari, Ritu Barmecha, Sathyam Rajesh",Drama,"Karthika Gopalakrishnan Navdeep, Srihari, Ritu Barmecha, Sathyam Rajesh Drama"
kevvu keka,Devi Prasad,"Allari Naresh, Sharmila Mandre",Action,"Devi Prasad Allari Naresh, Sharmila Mandre Action"
anukshanam,Ram Gopal Varma,"Vishnu Manchu, Navdeep, Tejaswi Madivada, Madhu Shalini, Revathi",Thriller,"Ram Gopal Varma Vishnu Manchu, Navdeep, Tejaswi Madivada, Madhu Shalini, Revathi Thriller"
aagadu,Srinu Vaitla,"Mahesh Babu, Tamannaah, Rajendra Prasad, Sonu Sood, Brahmanandam",Action / Drama,"Srinu Vaitla Mahesh Babu, Tamannaah, Rajendra Prasad, Sonu Sood, Brahmanandam Action / Drama"
loukyam,Sriwass,"Gopichand, Rakul Preet Singh, Brahmanandam",Action,"Sriwass Gopichand, Rakul Preet Singh, Brahmanandam Action"
govindudu andarivadele,Krishna Vamsi,"Ram Charan, Kajal Agarwal, Prakash Raj, Meka Srikanth, Kamalinee Mukherjee",Drama,"Krishna Vamsi Ram Charan, Kajal Agarwal, Prakash Raj, Meka Srikanth, Kamalinee Mukherjee Drama"
current theega,Nageshwara Reddy,"Manchu Manoj, Rakul Preet Singh, Jagapati Babu",Romantic comedy,"Nageshwara Reddy Manchu Manoj, Rakul Preet Singh, Jagapati Babu Romantic comedy"
dikkulu choodaku ramayya,Trikoti,"Naga Shourya, Sana Makbul, Ajay, Indraja",Romance,"Trikoti Naga Shourya, Sana Makbul, Ajay, Indraja Romance"
oka laila kosam,Vijay Kumar Konda,"Naga Chaitanya, Pooja Hegde",Romance,"Vijay Kumar Konda Naga Chaitanya, Pooja Hegde Romance"
karthikeya,Chandoo Mondeti,"Nikhil Siddharth, Swati Reddy, Tanikella Bharani, Rao Ramesh",Mystery - Thriller,"Chandoo Mondeti Nikhil Siddharth, Swati Reddy, Tanikella Bharani, Rao Ramesh Mystery - Thriller"
jai hind 2,Arjun Sarja,"Arjun Sarja, Simran Kapoor, Surveen Chawla, Rahul Dev",Action,"Arjun Sarja Arjun Sarja, Simran Kapoor, Surveen Chawla, Rahul Dev Action"
boy friend leni ammayi unda,Shiva Nagu,"Bhavani Agarwal, Mega Supreme, Kanchana Maitra",Drama,"Shiva Nagu Bhavani Agarwal, Mega Supreme, Kanchana Maitra Drama"
paathasala,Mahi V. Raghav,"Nandu, Anu, Priya, Sirisha, Sai Kiran, Shiva, Sashaank",Thriller,"Mahi V. Raghav Nandu, Anu, Priya, Sirisha, Sai Kiran, Shiva, Sashaank Thriller"
power,K. S. Ravindra,"Ravi Teja, Hansika, Regina Cassandra, Sampath Raj",Action / Drama,"K. S. Ravindra Ravi Teja, Hansika, Regina Cassandra, Sampath Raj Action / Drama"
galipatam,Naveen Gandhi,"Aadi, Erica Fernandes, Kristina Akheeva",Romance,"Naveen Gandhi Aadi, Erica Fernandes, Kristina Akheeva Romance"
ganpati bappa morya,Ramu Kumar ASK,"Srinadh, Rajasekhar, Mallesh, Riteesh",Drama,"Ramu Kumar ASK Srinadh, Rajasekhar, Mallesh, Riteesh Drama"
boochamma boochodu,Revan Yadu,"Sivaji, Kainaz Motivala, Brahmanandam, Posani Krishna Murali",Suspense Thriller,"Revan Yadu Sivaji, Kainaz Motivala, Brahmanandam, Posani Krishna Murali Suspense Thriller"
rabhasa,Santosh srinivas,"Jr.NTR, Samantha, Pranitha Subhash",Action / Drama,"Santosh srinivas Jr.NTR, Samantha, Pranitha Subhash Action / Drama"
kiraak,Harik Devabhakthuni,"Aniruddh, Chandini Tamilarasan",Romance,"Harik Devabhakthuni Aniruddh, Chandini Tamilarasan Romance"
nee jathaga nenundali,Jaya Ravindra,"Sachiin J Joshi, Nazia Hussain, Rao Ramesh",Romance,"Jaya Ravindra Sachiin J Joshi, Nazia Hussain, Rao Ramesh Romance"
lovers,Harinath,"Sumanth Ashwin, Nanditha",Romance,"Harinath Sumanth Ashwin, Nanditha Romance"
geethanjali,Raj Kiran,"Anjali, Brahmanandam, Srinivasa Reddy",Horror / Comedy,"Raj Kiran Anjali, Brahmanandam, Srinivasa Reddy Horror / Comedy"
janmasthanam,Om Sai Prakash,"Sai Kumar, Roopika, Pavani",Action / Thriller,"Om Sai Prakash Sai Kumar, Roopika, Pavani Action / Thriller"
nuvvala nenila,Trinadha Rao Nakkina,"Varun Sandesh, Poorna",Romance,"Trinadha Rao Nakkina Varun Sandesh, Poorna Romance"
brother of bommali,B. Chinni Krishna,"Allari Naresh, Karthika Nair",Comedy / Drama,"B. Chinni Krishna Allari Naresh, Karthika Nair Comedy / Drama"
chatting,T.S.Kamal,"Abhinaya Krishna, Sunitha",Romance,"T.S.Kamal Abhinaya Krishna, Sunitha Romance"
gallo telinattunde,D. Venkat Suresh,"Ajay, Kousalya",Romance,"D. Venkat Suresh Ajay, Kousalya Romance"
maaya,Neelakanta,"Harshvardhan Rane, Avanthika, Nagababu",Action / Thriller,"Neelakanta Harshvardhan Rane, Avanthika, Nagababu Action / Thriller"
raj mahal,Appaji Konda,"suryanath, sravan, jeeva, surya, tarjan, sandeepthi, ria",suspense horror,"Appaji Konda suryanath, sravan, jeeva, surya, tarjan, sandeepthi, ria suspense horror"
joru,Kumar Nagendra,"Sundeep Kishan, Rashi Khanna, Priya Banerjee",Action / Drama,"Kumar Nagendra Sundeep Kishan, Rashi Khanna, Priya Banerjee Action / Drama"
rough,C. H. Subba Reddy,"Aadi, Rakul Preet Singh, Srihari, Raghu Babu",Romance Action,"C. H. Subba Reddy Aadi, Rakul Preet Singh, Srihari, Raghu Babu Romance Action"
poga,Shankar Marthand,"Navdeep, Madhu Shalini",Horror,"Shankar Marthand Navdeep, Madhu Shalini Horror"
adavi kachina vennela,Akki Vishwanadha Reddy,"Arvind Krishna, Meenakshi Dixit, Richard Rishi, Pooja Ramachandran",Action / Drama,"Akki Vishwanadha Reddy Arvind Krishna, Meenakshi Dixit, Richard Rishi, Pooja Ramachandran Action / Drama"
unknown,Happy New Year,Farah Khan,Happy New Year,Happy New Year Farah Khan Happy New Year
15 august,Sikandar,N. Linguswamy,Anjaan,Sikandar N. Linguswamy Anjaan
20 june,Indrudu,Thiru,Naan Sigappu Manithan,Indrudu Thiru Naan Sigappu Manithan
21 march,Bhadram,unknown,Thegidi,Bhadram unknown Thegidi
14 march,Dheerudu,Boopathy Pandian,Pattathu Yaanai,Dheerudu Boopathy Pandian Pattathu Yaanai
21 february,Aaha Kalyanam,Gokul,Aaha Kalyanam,Aaha Kalyanam Gokul Aaha Kalyanam
chinnadana nee kosam,A. Karunakaran,"Nithiin, Mishti, Nassar, Naresh, Sithara, Ali",Romance,"A. Karunakaran Nithiin, Mishti, Nassar, Naresh, Sithara, Ali Romance"
mukunda,Srikanth Addala,"Varun Tej, Pooja Hegde, Prakash Raj, Rao Ramesh, Brahmanandam",Drama,"Srikanth Addala Varun Tej, Pooja Hegde, Prakash Raj, Rao Ramesh, Brahmanandam Drama"
o manishi katha,Radha Swamy Avula,"Jagapati Babu, Kalyani",Drama,"Radha Swamy Avula Jagapati Babu, Kalyani Drama"
panchabhoothalu sakshiga,Kalicharan Maadina,"Kalicharan, Manashwini, Chitram srinu, Bindu",Horror,"Kalicharan Maadina Kalicharan, Manashwini, Chitram srinu, Bindu Horror"
saheba subramanyam,Sasikiran Naryana,"Dilip Kumar, Priyanka Gor, Rao Ramesh",Romance,"Sasikiran Naryana Dilip Kumar, Priyanka Gor, Rao Ramesh Romance"
parampara,Madhu Mahankali,"Naresh, Aamani, Raavi Kondala Rao",Family drama,"Madhu Mahankali Naresh, Aamani, Raavi Kondala Rao Family drama"
ee varsham sakshiga,Ramana Mogili,"Varun Sandesh, Haripriya",Romance,"Ramana Mogili Varun Sandesh, Haripriya Romance"
the end,Rahul Sankrityan,"Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy",Horror,"Rahul Sankrityan Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy Horror"
lakshmi raave maa intiki,Nandyala Ravi,"Naga Shourya, Avika Gor",Romance,"Nandyala Ravi Naga Shourya, Avika Gor Romance"
chakkiligintha,Vema Reddy,"Sumanth Ashwin, Rehana",Romance,"Vema Reddy Sumanth Ashwin, Rehana Romance"
ala ela,Aneesh Krishna,"Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel",Comedy,"Aneesh Krishna Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel Comedy"
yamaleela 2,S. V. Krishna Reddy,"Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi",Fantasy drama,"S. V. Krishna Reddy Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi Fantasy drama"
33 prema kathalu,Siva Ganesh,"Vivek, Sunitha Marasiar, Sravani",Romance,"Siva Ganesh Vivek, Sunitha Marasiar, Sravani Romance"
naa bangaaru talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy",Drama,"Rajesh Touchriver Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy Drama"
rowdy fellow,Krishna Chaitanya,"Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh",Action / Drama,"Krishna Chaitanya Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh Action / Drama"
ice cream 2,Ram Gopal Varma,"J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva",Thriller,"Ram Gopal Varma J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva Thriller"
atreya,Shanthikumar Chilumula,"Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi",Children,"Shanthikumar Chilumula Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi Children"
pilla nuvvu leni jeevitham,A. S. Ravi Kumar Chowdhary,"Sai Dharam Tej, Regina Cassandra, Jagapati Babu, Prakash Raj, Shayaji Shinde",Action drama,"A. S. Ravi Kumar Chowdhary Sai Dharam Tej, Regina Cassandra, Jagapati Babu, Prakash Raj, Shayaji Shinde Action drama"
erra bus,Dasari Narayana Rao,"Manchu Vishnu, Catherine Tresa, Brahmanandam, Dasari Narayana Rao",Romantic Drama,"Dasari Narayana Rao Manchu Vishnu, Catherine Tresa, Brahmanandam, Dasari Narayana Rao Romantic Drama"
vundile manchi kalam mundu mundura,Arun Daasyam,"Sudhakar Komakula, Avantika Mohan",Drama,"Arun Daasyam Sudhakar Komakula, Avantika Mohan Drama"
run raja run,Sujeeth,"Sharwanand, Seerat Kapoor, Adivi Sesh, Sampath Raj, Kota Srinivasa Rao, Vennela Kishore",Action,"Sujeeth Sharwanand, Seerat Kapoor, Adivi Sesh, Sampath Raj, Kota Srinivasa Rao, Vennela Kishore Action"
eduruleni alexander,Raja Reddy,"Taraka Ratna, Komal Jha, Kumkum",Action – Romance,"Raja Reddy Taraka Ratna, Komal Jha, Kumkum Action – Romance"
 ice cream,Ram Gopal Varma,"Navdeep, Tejaswi Madivada",Horror / Thriller,"Ram Gopal Varma Navdeep, Tejaswi Madivada Horror / Thriller"
boy meets girl tholiprema katha,Vasanth Dayakar,"Siddharth, Nikkitha, Kanika Tiwari",Romance,"Vasanth Dayakar Siddharth, Nikkitha, Kanika Tiwari Romance"
legend,Boyapati Srinu,"Nandamuri Balakrishna, Jagapathi Babu, Radhika Apte, Sonal Chauhan, Kalyani",Action/Drama,"Boyapati Srinu Nandamuri Balakrishna, Jagapathi Babu, Radhika Apte, Sonal Chauhan, Kalyani Action/Drama"
savior,Irene Thalluri,"Noel Sanjith, Siyona Sneha, Johnny Lever, Surya, Rama Prabha, Goutham Raj, Melkote",Spiritual / Drama / Comedy,"Irene Thalluri Noel Sanjith, Siyona Sneha, Johnny Lever, Surya, Rama Prabha, Goutham Raj, Melkote Spiritual / Drama / Comedy"
veta,Ashok Alle,"Tarun Kumar, Srikanth, Jasmin Bhasin, Madhurima",Action,"Ashok Alle Tarun Kumar, Srikanth, Jasmin Bhasin, Madhurima Action"
hrudayam ekkadunnadi,V. I.,unknown,unknown,V. I. unknown unknown
kamalatho na prayanam,Narasimha Nandi,"Sivaji, Archana, Pavala Shyamala",Romantic drama,"Narasimha Nandi Sivaji, Archana, Pavala Shyamala Romantic drama"
yuddham,Bharathi Ganesh,"Tarun Kumar, Yami Gautam, Srihari",Action – Romance,"Bharathi Ganesh Tarun Kumar, Yami Gautam, Srihari Action – Romance"
to let 4 bachelors only,Ramana Geddam,"Kiran, Kalyan, Bharadwaj, Madhu, Sirisha, Latha, Narasing",Adult comedy,"Ramana Geddam Kiran, Kalyan, Bharadwaj, Madhu, Sirisha, Latha, Narasing Adult comedy"
nuvve naa bangaram,Ram Venky,"Sai Krishna, Sheena Shahabadi, Nisha Kothari, Suman",Romance,"Ram Venky Sai Krishna, Sheena Shahabadi, Nisha Kothari, Suman Romance"
bangaru kodipetta,Raj Pippalla,"Navdeep, Swati Reddy, Santhosh, Ram",Romantic drama,"Raj Pippalla Navdeep, Swati Reddy, Santhosh, Ram Romantic drama"
bhimavaram bullodu,Udayasankar,"Sunil, Esther Nooronha",Romantic comedy,"Udayasankar Sunil, Esther Nooronha Romantic comedy"
alibaba okkade donga,Phani Prakash,"Ali, Suja Varunee, Allari Naresh (Voice-over)",Comedy,"Phani Prakash Ali, Suja Varunee, Allari Naresh (Voice-over) Comedy"
special class,K. R. Venki,"Harish, Ananya Thakur, Vaibhav, Allari Subhashini",Adult romance,"K. R. Venki Harish, Ananya Thakur, Vaibhav, Allari Subhashini Adult romance"
naa rakumarudu,T. Satya,"Naveen Chandra, Ritu Varma",Romance,"T. Satya Naveen Chandra, Ritu Varma Romance"
hum tum,Ram Bimana,"Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana, Dharmavarapu Subramanyam",Romance,"Ram Bimana Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana, Dharmavarapu Subramanyam Romance"
dil deewana,Thumma Kiran,"Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande",Romance,"Thumma Kiran Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande Romance"
malligadu marriage bureau,Uday Raj,"Srikanth, Brahmanandam, Manochitra",Comedy,"Uday Raj Srikanth, Brahmanandam, Manochitra Comedy"
paisa,Krishna Vamsi,"Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar",Romance / Comedy,"Krishna Vamsi Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar Romance / Comedy"
pandavulu pandavulu tummeda,Sriwass,"Mohan Babu, Manchu Vishnu, Manchu Manoj, Raveena Tandon, Hansika Motwani, Pranitha Subhash",Action/Romance,"Sriwass Mohan Babu, Manchu Vishnu, Manchu Manoj, Raveena Tandon, Hansika Motwani, Pranitha Subhash Action/Romance"
heart attack,Puri Jagannadh,"Nithiin, Adah Sharma",Action/Romance,"Puri Jagannadh Nithiin, Adah Sharma Action/Romance"
manasunu maaya cheyake,Suresh P Kumar,"Prince, Sethu, Richa Panai, Disha Pandey, Manobala",Romance,"Suresh P Kumar Prince, Sethu, Richa Panai, Disha Pandey, Manobala Romance"
yevadu,Vamsi Paidipally,"Ram Charan Teja, Shruti Hassan, Allu Arjun, Sai Kumar, Amy Jackson",Action/Romance,"Vamsi Paidipally Ram Charan Teja, Shruti Hassan, Allu Arjun, Sai Kumar, Amy Jackson Action/Romance"
1: nenokkadine,Sukumar,"Mahesh Babu, Kriti Sanon",Psychological action thriller,"Sukumar Mahesh Babu, Kriti Sanon Psychological action thriller"
kshatriya,K. Uday Chandu,"Srikanth, Kumkum, Kota Srinivasa Rao, Rao Ramesh",Action,"K. Uday Chandu Srikanth, Kumkum, Kota Srinivasa Rao, Rao Ramesh Action"
celebrity,KVM Krishna,"Ammu Prasad, Viswadha, Bindu, Deepesh Reddy, Sai Kanth",Drama,"KVM Krishna Ammu Prasad, Viswadha, Bindu, Deepesh Reddy, Sai Kanth Drama"
alludu seenu,V.V. Vinayak,"Bellamkonda Sreenivas, Samantha, Prakash Raj, Brahmanandam",Action,"V.V. Vinayak Bellamkonda Sreenivas, Samantha, Prakash Raj, Brahmanandam Action"
love dot com,Raja Vannem Reddy,"Arya Sandeep, Neethi Taylor, Dharmavarapu Subramanyam",Romance,"Raja Vannem Reddy Arya Sandeep, Neethi Taylor, Dharmavarapu Subramanyam Romance"
rowdy,Ram Gopal Varma,"Mohan Babu, Vishnu Manchu, Jayasudha, Shanvi",Action,"Ram Gopal Varma Mohan Babu, Vishnu Manchu, Jayasudha, Shanvi Action"
medaram jathara,Sheshidhar,Suman,Drama,Sheshidhar Suman Drama
hrudaya kaleyam,Steven Shankar,"Sampoornesh Babu, Ishika Singh, Kavya Kumari",Comedy Action,"Steven Shankar Sampoornesh Babu, Ishika Singh, Kavya Kumari Comedy Action"
vichakshana,Deepak Nyathi,"Dheeraj, Padmini, Nandeeshwar Goud, Jayapradha, JayaLakshmi, Surender Goud, PadmaJayanthi, Mukesh, Rizwan, Dharmender",Action,"Deepak Nyathi Dheeraj, Padmini, Nandeeshwar Goud, Jayapradha, JayaLakshmi, Surender Goud, PadmaJayanthi, Mukesh, Rizwan, Dharmender Action"
aa aiduguru,Anil Gurudu,"Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan",Action,"Anil Gurudu Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan Action"
ra ra krishnayya ,Mahesh. P,"Sundeep Kishan, Jagapathi Babu, Regina Cassandra, Kalyani, Tanikella Bharani",Romance,"Mahesh. P Sundeep Kishan, Jagapathi Babu, Regina Cassandra, Kalyani, Tanikella Bharani Romance"
inka emi anukoleduu,Sreekara Babu,"Rahman, Deshpathi, Shreeraj, Archana",Romance,"Sreekara Babu Rahman, Deshpathi, Shreeraj, Archana Romance"
autonagar surya,Deva Katta,"Naga Chaitanya, Samantha Ruth Prabhu, Saikumar",Social Drama,"Deva Katta Naga Chaitanya, Samantha Ruth Prabhu, Saikumar Social Drama"
oohalu gusagusalade,Srinivas Avasarala,"Naga Shourya, Rashi Khanna",Romance / Drama,"Srinivas Avasarala Naga Shourya, Rashi Khanna Romance / Drama"
jabilli kosam akasamalle,Raj Narendra,"Sri Hari, Anoop Tej, Smrithika Acharya",Action / Romance,"Raj Narendra Sri Hari, Anoop Tej, Smrithika Acharya Action / Romance"
jump jilani,E. Satti Babu,"Allari Naresh, Isha Chawla, Swathi Dixit, Posani Krishna Murali, Raghu Babu",Comedy,"E. Satti Babu Allari Naresh, Isha Chawla, Swathi Dixit, Posani Krishna Murali, Raghu Babu Comedy"
veedu chaala worst,Venkat Pampana,"Taraka Ratna, Nandan, Neeraj, Swapna",Socio-Fantasy,"Venkat Pampana Taraka Ratna, Nandan, Neeraj, Swapna Socio-Fantasy"
ulavacharu biryani,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Samyuktha Horanadu","Comedy, Drama","Prakash Raj Prakash Raj, Sneha, Urvashi, Samyuktha Horanadu Comedy, Drama"
prema geema jantha nai,Subbu R. V.,"Sreeram Chandra, Barbie, Chalapathi Rao, Bhanuchander",Romance,"Subbu R. V. Sreeram Chandra, Barbie, Chalapathi Rao, Bhanuchander Romance"
manam,Vikram Kumar,"Akkineni Nageswara Rao, Akkineni Nagarjuna, Akkineni Naga Chaitanya, Shriya Saran, Samantha",Drama,"Vikram Kumar Akkineni Nageswara Rao, Akkineni Nagarjuna, Akkineni Naga Chaitanya, Shriya Saran, Samantha Drama"
pyar mein padipoyane,Ravi Kumar Chavali,"Aadi, Shanvi Srivastava",Romance,"Ravi Kumar Chavali Aadi, Shanvi Srivastava Romance"
maine pyaar kiya,Pradeep Madugula,"Pradeep Ryan, Isha Talwar, Madhumitha",Romance,"Pradeep Madugula Pradeep Ryan, Isha Talwar, Madhumitha Romance"
hrudaya kaleyam (re-released),Steven Shankar,"Sampoornesh Babu, Ishika Singh, Kavya Kumari",Comedy Action,"Steven Shankar Sampoornesh Babu, Ishika Singh, Kavya Kumari Comedy Action"
april fool,Krishnaswamy Srikanth Iyengar,"Jagapati Babu, Bhoomika Chawla, Gulshan Grover, Randhir Reddy",Comedy Fantasy,"Krishnaswamy Srikanth Iyengar Jagapati Babu, Bhoomika Chawla, Gulshan Grover, Randhir Reddy Comedy Fantasy"
laddu babu,Ravi Babu,"Allari Naresh, Poorna, Bhumika Chawla, Brahmanandam, M. S. Narayana, Ali",Comedy,"Ravi Babu Allari Naresh, Poorna, Bhumika Chawla, Brahmanandam, M. S. Narayana, Ali Comedy"
drushyam,Sripriya,"Venkatesh, Meena, Nadhiya, Naresh, Kalabhavan Shajon",Action / Drama,"Sripriya Venkatesh, Meena, Nadhiya, Naresh, Kalabhavan Shajon Action / Drama"
race gurram,Surender Reddy,"Allu Arjun, Shruti Hassan, Shaam, Saloni Aswani, Prakash Raj, Brahmanandam, Suhasini Maniratnam, M. S. Narayana",Action,"Surender Reddy Allu Arjun, Shruti Hassan, Shaam, Saloni Aswani, Prakash Raj, Brahmanandam, Suhasini Maniratnam, M. S. Narayana Action"
prathighatana,Tammareddy Bharadwaja,"Charmy Kaur, Reshma Rathore, Raghu Babu, Posani Krishna Murali, Krishna Bhagawan",Action / Drama,"Tammareddy Bharadwaja Charmy Kaur, Reshma Rathore, Raghu Babu, Posani Krishna Murali, Krishna Bhagawan Action / Drama"
prabhanjanam,Bhaskara Rao Vendrati,"Ajmal Ameer, Sandesh, Aarushi, Panchi Bora, Nassar, Kota Srinivasa Rao",Action,"Bhaskara Rao Vendrati Ajmal Ameer, Sandesh, Aarushi, Panchi Bora, Nassar, Kota Srinivasa Rao Action"
avatharam,Kodi Ramakrishna,"Richard Rishi, Radhika Kumaraswamy, Bhanupriya",Devotional / Drama,"Kodi Ramakrishna Richard Rishi, Radhika Kumaraswamy, Bhanupriya Devotional / Drama"
prathinidhi,Prashanth Mandava,"Nara Rohit, Shubra Aiyyappa, Kota Srinivasa Rao, Jaya Prakash Reddy, Vishnu",Action,"Prashanth Mandava Nara Rohit, Shubra Aiyyappa, Kota Srinivasa Rao, Jaya Prakash Reddy, Vishnu Action"
galata,Krishna,"Srinivas, Haripriya, Saikumar, Nagendra Babu, Ali",Romance/ Comedy,"Krishna Srinivas, Haripriya, Saikumar, Nagendra Babu, Ali Romance/ Comedy"
