Year,Month,Title,Director,Cast,Genre
2000,AUG,Chusodham Randi,Raja Vannem Reddy,"Jagapathi Babu, Srikanth, Rambha",Romance
2000,AUG,February 14th Necklace Road,Seenu,"Suman, Bhanupriya",Thriller
2000,AUG,Vyjayanthi,K S Nageswara Rao,"Vijayashanti, Babloo Prithviraj",Action
2000,AUG,Manasichanu,Pramod Kumar,"Ravi Teja, Manichandana",Romance
2000,AUG,Ee Tharam Nehru,Siva Nagu,"Krishna Ghattamaneni,  Suman, Suresh, Prema",Drama
2000,AUG,9 Nelalu,Kranthi Kumar,"Vikram, Soundarya",Drama / Romance
2000,OCT,Jayam Manadera,N. Shankar,"Venkatesh, Soundarya",Drama
2000,AUG,Manasunna Maharaju,Muthyala Subbaiah,"Rajasekhar, Laya, Asha Saini",Drama
2000,SEP,Moodu Mukkalata,K. Raghavendra Rao,"Jagapathi Babu, Soundarya, Rambha, Raasi",Comedy
2000,OCT,Nuvve Kavali,Vijayabhaskar,"Tarun Kumar, Richa Pallod, Saikiran",Romance
2000,DEC,Uncle,Raja Sekhar,"Tarun, Pallavi",Drama
2000,OCT,NTR Nagar,Babji,"Dupes, Manichandana",Drama
2000,AUG,Sardukupodam Randi,S. V. Krishna Reddy,"Jagapathi Babu, Soundarya, Asha Saini, M. S. Narayana, Jayasudha",Comedy
2000,DEC,Chalo Assembly,Narayana Murthy,"Narayana Murthy, Usha",Action
2000,DEC,Unmadi,T. Krishna,"Surya, Sishwa, Ranjani",Thriller
2000,DEC,Tirumala Tirupati Venkatesa,Sathibabu,"Srikanth, Ravi Teja, Roja, Maheshwari",Comedy
2000,DEC,Rojuko Roja,G. J. Raja,"Raja Vikram, Rashmita, Swapna Sri",Romance
2000,DEC,Sakutumba Saparivaara Sametam,S. V. Krishna Reddy,"Akkineni Nageshwara Rao, Srikanth, Suhasini Maniratnam, Jayalakshmi",Drama
2000,DEC,Subhavela,Ramana,"Ravikanth, Anasuya",Romance
2000,OCT,Ammo! Okato Tareekhu,E. V. V. Satyanarayana,"Srikanth, Suresh, Raasi",Comedy drama
2000,DEC,Maa Annayya,Raviraja Pinisetty,"Rajasekhar, Meena Durairaj, Deepti Bhatnagar",Drama
2000,NOV,Anta mana Manchike,K. Veeru,"Rajendra Prasad, Rachana Banerjee, Asha Saini",Comedy
2000,NOV,Chiru Navvuto,Vijaybhaskar,"Venu Thottempudi, Shaheen Khan, Sunil",Drama
2000,NOV,College,Ravi Chavali,"Sivaji, Manya",Romance
2000,NOV,Devullu,Kodi Ramakrishna,"Ramya Krishna, Raasi, Srikanth, Laya, Rajendra Prasad",Fiction
2000,NOV,Bachi,Puri Jagannadh,"Jagapathi Babu, Neelambari, Kota Srinivasa Rao, Prakash Raj",Masala
2000,NOV,Sri Srimati Satyabhama,S. V. Krishna Reddy,"Rahman, Vijayashanti",Comedy
2000,NOV,Sri Sai Mahima,Ashok Kumar,"Om Prakash Rao, Jayasudha",Drama
2000,NOV,Vijayaramaraju,Veera Shankar,"Srihari, Urvashi",Action
2000,JUL,Kouravudu,V. Jyotikumar,"Konidela Nagendra Babu, Ramya Krishna",Drama
2000,JAN,Vamsoddarakudu,Sharath,"Balakrishna Nandamuri, Sakshi Shivanand, Ramya Krishna, Krishnam Raju",Action
2000,JUL,Goppinti Alludu,E. V. V. Satyanarayana,"Nandamuri Balakrishna, Simran, Sanghavi",Drama
2000,MAR,Balaram,Raviraja Pinisetty,"Srihari, Raasi, Vineeth, Maheshwari",Action
2000,MAR,Raghavayya Gari Abbayi,Perala,"Sri Harsha, Prema",Drama
2000,MAR,Sanchalanam,Tammareddy Bharadwaj,"Prakash Raj, Babloo Prithviraj, Roja",Action
2000,MAR,Ravanna,B. Gopal,"Rajasekhar, Sanghavi, Soundarya, Krishna Ghattamaneni",Drama
2000,FEB,Manasu Paddanu Kaani,K. Veeru,"Venu Thottempudi, K. Vishwanath, Raasi, Ramya Krishna",Drama
2000,FEB,Nishabda Ratri,Sahadeva Reddy,"Kaushal, Raksha",Thriller
2000,FEB,Hands Up,Siva Nageswara Rao,"Nagendra Babu, Jayasudha, Brahmanandam",Comedy
2000,FEB,Ganapathi,Hari Babu,"Srihari, Ashwani, Rami Reddy",Action
2000,FEB,Kshemamga Velli Labhamga Randi,Raja Vannem Reddy,"Srikanth, Rajendra Prasad, Roja, Brahmanandam, Ramya Krishna, Kovai Sarala, Prakash Raj",Comedy
2000,JAN,Sammakka Sarakka,Dasari Narayana Rao,"Suman, Ramya Krishna, Roja, Jaya Pradha, Indraja, Brahmaji",Rebellion
2000,JAN,Kalisundam Raa,Udayasankar,"Venkatesh, Simran",Drama
2000,JAN,Postman,Muppalaneni Siva,"Mohan Babu, Soundarya, Raasi",Romance
2000,JAN,Annayya,Mutyala Subbayya,"Chiranjeevi, Ravi Teja, Soundarya, Simran, Sharath Babu",Drama / Action
2000,JAN,Kodanda Ramudu,S. V. Krishna Reddy,"J. D. Chakravarthi, Saptaparna Saha ,Rambha, Laya",Drama
2000,JUL,Pelli Sambandham,K. Raghavendra Rao,"Akkineni Nageshwara Rao, Sumanth, Sakshi Shivanand, Sanghavi",Drama
2000,APR,Nuvvu Vastavani,Pratap,"Akkineni Nagarjuna, Simran, Isha Koppikar",Romance
2000,APR,Yuvaraju,Y. V. S. Chowdary,"Mahesh Babu, Simran, Sakshi Shivanand",Romance
2000,FEB,Chala Bagundi,E. V. V. Satyanarayana,"Srikanth, Malavika, Vadde Naveen, Asha Saini",Comedy
2000,APR,Madhuri,Mouli,"Abbas, Anjana",Romance
2000,JUL,Pellam Vachindi,Krishna Reddy,"Suman, Manichandana, Radhika Chowdhary",Romance
2000,APR,Badri,Puri Jagannadh,"Pawan Kalyan, Ameesha Patel, Renu Desai, Prakash Raj",Romance
2000,JUL,Maa Pelliki Randi,Muppalaneni Shiva,"J. D. Chakravarthy, Sakshi Shivanand",Romance
2000,JUL,Bachelors,Sana Yadi Reddy,"Sivaji, Manya",Romance
2000,JUN,Adavi Chukka,Dasari Narayana Rao,"Vijayashanti, Charanraj, Suman",Action
2000,JUN,Okkadu Chalu,,"Rajasekhar, Suresh, Rambha, Sanghavi",Action
2000,JUN,Chitram,Teja,"Uday Kiran, Reema Sen",Romance
2000,JUN,Real Story,Venkataramana Reddy,"Prakash Raj, Sandhya, Brahmanandam",Drama
2000,JUN,Sivaji,Sai Balaji,"Srihari, Raasi",Action
2000,JUN,Sivanna,K. S. Nageswara Rao,"Sai Kumar, Manya",Action
2000,JUN,Bagunnara,Bakruddin,"Vadde Naveen, Priya Gill, Srihari, Vijayakumar",Drama
2000,MAY,Nagulamma,K. S. R. Das,"Babloo Prithviraj, Maheshwari",Drama
2000,MAY,Oke Maata,Muthyala Subbaiah,"Upendra, Ramya Krishna, Raasi",Drama
2000,MAY,Yuvakudu,Karunakaran,"Sumanth, Bhoomika Chawla, Jaya Sudha",Romance
2000,MAY,Manoharam,Gunashekar,"Jagapathi Babu, Laya, Prakash Raj",Drama
2000,MAY,Pasupu Kumkuma,M Raghupati Reddy,"Sijju, Jackie, Anjani Thakkar",Drama / Romance
2000,JUN,Hindustan,Hari Babu,"Naresh, Bhanupriya",Drama
2001,SEP,Idhe Naa Modhati Premalekha,G. Nageswara Reddy,"Jayaram, Rimmi Sen",Romance
2001,AUG,Cheppalani Vundi,Chandra Mahesh,"Naveen, Raasi, Kanchi Kaul",Romance
2001,SEP,Adhipathi,Ravi Raja Pinisetty,"Mohan Babu, Akkineni Nagarjuna, Preeti Jhangiani, Soundarya",Action
2001,SEP,Itlu Sravani Subramanyam,Puri Jagannadh,"Ravi Teja, Tanu Roy",Romance
2001,SEP,Nuvvu Naaku Nachav,Vijaya Bhaskar,"Venkatesh, Arthi Agarwal",Comedy
2001,SEP,Naalo Vunna Prema,Pratap,"Jagapathi Babu, Gajala, Laya",Romance
2001,SEP,Chandu,Veeru K,"Pavan Kumar, Archana, L. B. Sriram",Romance
2001,AUG,Akasa Veedhilo,Singeetam Srinivasa Rao,"Akkineni Nagarjuna, Raveena Tandon",Drama
2001,JUL,Naa Manasistha Raa,R.R.Shinde,"Srikanth, Richa, Soundarya",Romance
2001,AUG,Evadra Rowdy,Sarath,"Srihari, Sanghavi, Sujatha",Action
2001,AUG,Nuvvu Nenu,Teja,"Uday Kiran, Anitha",Romance
2001,AUG,Wife,Ravipalli Rambabu,"Sivaji, Preetha Vijayakumar",Romance
2001,AUG,Shubakaryam,Ravi Raja Pinisetty,"Rajasekhar, Naveen, Asha Saini",Drama
2001,AUG,Tholi Valapu,Muthyala Subbaiah,"Gopichand, Sneha",Romance
2001,JUL,Jackpot,G. Kasinath,"Kasinath, Naveena, L. B. Sriram, Jaya Prakash Reddy",Drama
2001,JUL,Sampangi,Sanayadi Reddy,"Kanchi Kaul, Arjan Bajwa, Deepak",Romance
2001,SEP,Chiranjeevulu,Radha Krishna,"Ravi Teja, Sanghavi, Sivaji",Drama
2001,AUG,Tara,Maniraj,"Akash, Ruthika, Gundu Hanumantha Rao",Drama
2001,SEP,Chirujallu,Sriram Balaji,"Tarun, Richa Pallod",Romance
2001,DEC,Hanuman Junction,Mohan Raja,"Jagapati Babu, Arjun",Drama
2001,SEP,Anandam,Srinu Vaitla,"Jai Akash, Rekha Vedavyas",Romance
2001,JUL,Ramma Chilakamma,Krishna Vamsi,"Sumanth, Laya",Family
2001,DEC,Subbu,Rudraraju Suresh Varma,"Jr. NTR, Sonali Joshi",Action
2001,DEC,Bhadrachalam,N.Shankar,"Srihari, Sindhu Menon",Action
2001,NOV,Little Hearts,Srikanth,"R. Venkateswar, Gayathri Priya, Murali Mohan, M. S. Narayana",Educational
2001,NOV,Athanu,Satyam Babu,"Sai Kumar, Rachana, Ravi Varma",Drama
2001,NOV,Paravasam,K.Balachander,"R. Madhavan, Simran Bagga, Sneha, Lawrence Raghavendra",Romance
2001,NOV,Jabili,S. V. Krishna Reddy,"Dileep, Rekha Vedavyas",Romance
2001,NOV,Veedekkadi Mogudandi?,E. V. V. Satyanarayana,"Venu, Shruthi Raj, Geethu Mohandas",Comedy
2001,SEP,Student No.1,S. S. Rajamouli,"Jr. NTR, Gajala",Drama
2001,NOV,Ammaye Navvithe,Jyothi Kumar,"Rajendra Prasad, Bhavana, Brahmanandam",Drama
2001,NOV,Raa,K. S. Nageswara Rao,"Upendra, Priyanka Upendra",Romantic Dark Comedy
2001,OCT,Muthyam,Vasan,"Rohit, Anu",Romance
2001,OCT,Snehamante Idera,Balasekaran,"Akkineni Nagarjuna, Sumanth, Bhoomika Chawla",Drama
2001,OCT,Prema Sandadi,P. A. Arun Prasad,"Srikanth, Anjala Zaveri",Romance
2001,OCT,Manasantha Nuvve,V. N. Aditya,"Uday Kiran, Reema Sen",Romance
