Year,Month,Title,Director,Cast,Genre
2011,MAR,Thimmaraju,Vemagiri,"Ali, Deepthi",Comedy
2011,MAY,Vykuntapali,Satyadeep Reddy,"Krishnudu, Ajay, Randhir, Tashu Kaushik, Sana, Subbaraju","Comedy, Thriller"
2011,MAY,Dussasana,Posani Krishna Murali,"Srikanth, Sanjana, Tashu Kaushik, Brahmanandam",Action
2011,MAY,Veera,Ramesh Varma,"Ravi Teja, Kajal Aggarwal, Taapsee Pannu, Manjari Phadnis, Brahmanandam",Action
2011,MAY,Seema Tapakai,G. Nageshwar Reddy,"Allari Naresh, Poorna",Comedy
2011,MAY,100% Love,Sukumar,"Naga Chaitanya, Tamannaah Bhatia, Tara Alisha",Romance
2011,APR,Nenu Naa Rakshasi,Puri Jagannath,"Rana Daggubati, Ileana D'Cruz, Abhimanyu Singh, Mumaith Khan",Romance
2011,APR,Mr. Perfect,Dasrath,"Prabhas, Kajal Aggarwal, Taapsee Pannu, Prakash Raj, Brahmanandam",Action
2011,JUN,Maaro,Siddique,"Nitin, Meera Chopra, Abbas, Kota Srinivasa Rao",Masala
2011,APR,Teenmaar,Jayanth C. Paranjee,"Pawan Kalyan, Trisha Krishnan, Kriti Kharbanda",Romance
2011,APR,Lokame Kothaga,Bharath Parepalli,"Shivaji, Aditi Agarwal",Romance
2011,APR,Manchivadu,Deepthi,"Tanish, Bhama, K. Vishwanath, Chandramohan",Drama
2011,APR,Shakti,Meher Ramesh,"Jr. NTR, Ileana D'Cruz, Manjari Phadnis, Jackie Shroff, Sonu Sood",Action
2011,MAR,Chattam,Arun Prasad P. A.,"Jagapathi Babu, Vimala Raman, Brahmanandam",Action
2011,MAR,Raaj,V. N. Aditya,"Sumanth, Priyamani, Vimala Raman",Action
2011,MAR,Dongala Mutha,"Ram Gopal Varma, Puri Jagannadh","Ravi Teja, Charmy Kaur, Prakash Raj, Lakshmi Manchu, Sunil",Suspense Thriller
2011,APR,Galli Kurrolu,Sai Venkat,"Naga Varma, Shefali Sharma",Drama
2012,SEP,People's War,R. Narayana Murthy,"R. Narayana Murthy, Srihari, Posani Krishna Murali",Social drama
2012,SEP,Vennela 1 1/2,Vennela Kishore,"Chaitanya Krishna, Monal Gajjar, Vennela Kishore, Brahmanandam",Comedy
2012,SEP,Avunu,Ravi Babu,"Poorna, Harshavardhan Rane, Ravi Babu",Thriller
2012,SEP,Em Babu Laddu Kavala,Gandhi Manohar,"Sivaji, Rachana Maurya, Aditi Agarwal, M. S. Narayana, Jeeva",Romantic thriller
2012,OCT,Sorry Teacher,Sri Satya,"Kavya Singh, Aryaman",Romantic thriller
2012,NOV,Sri Vasavi Vaibhavam,Udaya Bhaskar,"Meena, Suhasini, Suman, Sai Kiran",Drama
2012,NOV,Routine Love Story,Praveen Sattaru,"Sundeep Kishan, Regina Cassandra, M. S. Narayana, Vennela Kishore",Romance
2012,NOV,Mythri,Surya Raju,"Navdeep, Sadha, Brahmanandam, Uttej",Suspense thriller
2012,DEC,Kittigadu,Aditya PC,"Vishal Kumar, Sai Kiran, Surekha Vani",Drama
2012,DEC,Chaduvukovali,Venkateswara Rao Maddali,"Seetha, Baby Annie, Kota Shankar Rao",Social-Drama
2012,DEC,Swati I Love You,Santosh Parlawar,"Santosh Parlawar, Lasya",Romance
2012,DEC,Yamaho Yama: In America,Y. Jitender,"Sairam Shankar, Parvati Melton, Srihari, Sanjjanaa","Socio-fantasy, Comedy"
2012,DEC,Midhunam,Tanikella Bharani,"S. P. Balasubrahmanyam, Lakshmi",Drama
2012,DEC,Agnatham,Sridhar Pokuru,"Kalyani, Subbaraju, Krishna Bhagavaan, Jeeva",Action
2012,DEC,Genius,Anchor Omkar,"Havish, Sanusha, R. Sarathkumar, Abhinaya",Action
2012,JUL,Onamalu,Kranthi Madhav,"Rajendra Prasad, Kalyani",Drama
2012,NOV,Chanakyudu,G. Srinivas,"Tanish, Ishitha, Kota Srinivasa Rao, Chandra Mohan","Drama, Romance"
2012,JUN,Maa Abbai Engineering Student,Srinivas Guttula,"Naga Siddhartha, Radhika",Romance
2012,FEB,Veerangam,Vemuganti,"Suman, Shyamala, Ashish Vidyarthi, Kota Srinivasa Rao",Action
2012,MAY,Yadartha Prema Katha,Charan Raj,"Amar, Chiri, Suman Setty, Charan Raj","Drama, Romance"
2012,JUN,Gandharvulu,Gopal G. Perumall,"Sunitha setty, Dhana, Swetha Nair","Drama, Romance"
2012,JAN,20th,Ayyare,"Saagar Chandra  Rajendra Prasad, Sai Kumar, Sivaji","Drama, Romance"
2012,FEB,Love Cheste,Dhruva Nag,"Vishnu, Manjulika, Siddhi Mamre","Comedy, Romance"
2012,FEB,Rushi,Raj Madiraju,"Arvind Krishna, Supriya","Drama, Romance"
2012,FEB,Shiva Manasulo Shruti,Thathineni Satya,"Sudheer Babu, Regina Cassandra",Romance
2012,FEB,Nippu,Gunasekhar,"Ravi Teja, Deeksha Seth",Action
2012,FEB,My Heart is Beating,Arun RudraKiran Meegada,"Revanth, Rajitha, Rajasekhar, Srini Kolla",Romance
2012,MAR,Prema Pilustondi,Ajay Nathani,"Balu, Sindhu Menon","Action, Romance"
2012,MAR,Ee Rojullo,Maruthi,"Srinivas, Reshma",Romance
2012,MAR,Seeta Weds Sriram,P.S.L,"Krishna, Chandra Mohan, Uttej",Action
2012,MAR,Balaraju Aadi Bammardi,Rama Krishna,"Aryan Rajesh, Srihari, Shraddha Arya",Action
2012,APR,Devasthanam,Janardhana Maharshi,"K. Viswanath, S. P. Balasubrahmanyam, Aamani, Kovai Sarala",Family
2012,APR,Friendsbook,R. P. Patnaik,"Nischal, Uday, Archana Sharma, Nisha Shetty, Rao Ramesh, Chalapathi Rao",Thriller
2012,APR,Nuvvekadunte Nenakkadunta,Subha Selvam,"Uday Kiran, Shweta Basu Prasad, Brahmanandam",Romance
2012,APR,Maa Oorilo Okasari Emi Jarigindante,Chandu,"Kuntal, Sree Siri","Comedy, Romance"
2012,MAR,Ding Dong Bell,Madhusudan Reddy,"Krishnudu, Shweta Prasad, Bhanu Sri Mehra, Sumit Arora",Comedy
2013,SEP,Break Up,Amar Kamepalli,"Ranadhir Reddy, Swathi Dikshit, Suresh, Allari Subhashini, Harish",Romance
2013,SEP,Nirbhaya Bharatham,R. Narayana Murthy,"R. Narayana Murthy, Nancy Angel, Spandana, Amarendra, Arif",Crime drama
2013,SEP,Naa Sami Ranga,Subramanyam Pachcha,"Dilip, Saikumar Pampana, SreeTeja, Yashaswini, Priyanka, Ashish Vidyarthi",Comedy
2013,AUG,Telisi Teliyaka,K. Jayaprakash,"Geethanandh, Maithili, Krishna, Hasini",Romance
2013,AUG,Waiting for You,Sunil Kumar Reddy,"Sai Anil, Gayathri, Raghu Babu",Romance
2013,AUG,Athadu Aame O Scooter,Gangarapu Lakshman,"Vennela Kishore, Priyanka Chabra",Comedy
2013,SEP,Music Magic,Mantraakshar D. S.,"Rahul, Trinath, Kimaya, Henna Chopra",Musical
2013,SEP,Kamina,Lakshmikanth Chenna,"Srihari, Sai Kumar, Roja, Lekha Washington, Brahmaji, Krishi Arimanda, Ashish Vidyarthi",Action/ Drama
2013,OCT,Sahasra,K. Srikanth,"Rajiv Kanakala, Krishnudu, Shafi, Sri Ira, Reva",Thriller
2013,DEC,Second Hand,Kishore Tirumala,"Sudheer Verma, Dhanya Balakrishna, Kireeti Damaraju, Vishnu",Romantic comedy
2013,NOV,Chandee,V. Samudra,"Priyamani, R. Sarathkumar, Krishnam Raju, Vinodkumar, Nagendra Babu, Ashish Vidhyarthi, Posani Krishna Murali",Action
2013,NOV,Nenem…Chinna Pillana?,P. Sunil Kumar Reddy,"Rahul Ravindran, Tanvi Vyas, Sanjjanaa, Suman",Romance
2013,NOV,Kaali Charan,Praveen Sri,"Chaitanya, Chandini, Kavitha, Pankaj Kesari",Political drama
2013,NOV,Entha Andanga Unnave,S. I. Mahendra,"Ajay Manthena, Jiyana, Kasi Viswanath, Sivanarayana",Romance
2013,NOV,Ishta Sakhi,Bharat Parepalli,"Varun, Bhaskar, Sriram, Anusmrithi",Romance
2013,DEC,Natho Nenu,Rahul Singh Kagwal,Jai Akash,Drama
2013,DEC,Pranaya Veedhullo,Prabhakar Jaini,"Dr. K. V. Ramanachari, Suresh Chandra, Vamshi Krishna, Manaswini, Sri Divya, Arjun",Romantic comedy
2013,AUG,Adda,Sai Karthik,"Sushanth, Shanvi Srivastava, Raghu Babu, Kota Srinivasa Rao, Dev Gill",Action
2013,DEC,Dhoom 3,,Dhoom 3,Hindi
2013,OCT,Gatham,B S Raju,"Yuvraraj Sagar, Soumya, Hema, Shwetha, Harsha, Shafir",Romance
2013,AUG,Dalam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore, Nassar",Action
2013,DEC,Uyyala Jampala,Virinchi Varma,"Raj Tarun, Avika Gor, Punarnavi, Peela Gangadhar",Romance
2013,AUG,Abbayi Class Ammayi Mass,Koneti Srinu,"Varun Sandesh, katrina kaif, Ali",Romance
2013,AUG,Pusthakamlo Konni Pageelu Missing,Sajid Qureshi,"Sree, Supraja, Rahul, Satish, Masth Ali",Black comedy
2013,JAN,4th,Sevakudu,V. Samudra,"Srikanth, Charmy Kaur, Krishna, Manjula Swaroop"
2013,FEB,Bullabbai,Yuvaraju,"Krishnudu, Brahmanandam, Shravani",Romantic comedy
2013,MAR,Race,Ramesh Raparthi,"Vikram, Karthik, Bharat Kishore, Disha Pandey, Nikitha Narayanan",Romance
2013,MAR,Mahankali,Jeevitha Rajasekhar,"Rajasekhar, Madhurima, Pradeep Rawat",Action
2013,MAR,Backbench Student,Madhura Sreedhar Reddy,"Mahat Raghavendra, Piaa Bajpai, Archana Jose Kavi",Romance
2013,MAR,Rai Rai,Sudhir Raju,"Sri, Aksha",Romance
2013,MAR,Swamy Satyananda,Madan Patel,"Ravi Chetan, Neha, Anku, Madan Patel",Satire
2013,MAR,Priyathama Neevachata Kushalama,Trinadha Rao Nakkina,"Varun Sandesh, Hasika, Komal Jha",Romance
2013,MAR,Jaffa,Vennela Kishore,"Brahmanandam, Ali (actor)",Comedy
2013,MAR,Telugabbai,Vo Yes Avinash,"Tanish, Remya Nambeesan, Tashu Kaushik, Naga Babu, Sona Nair",Romance
2013,APR,Gouravam,Radha Mohan,"Allu Sirish, Yami Gautam, Prakash Raj, Nassar",Drama/ Action
2013,MAY,Love Touch,Sri Chand,Jayanth and Dhruthi,Romance
2013,MAY,Chemistry,Vachespathy Jonnalagadda,"Sree Ram, Amitha Rao",Romance
2013,JUN,Theatre Lo Naluguru,Srinivasa Raju Dendukuri,"Srikanth Raghava, Dheeraj, Swetha Pandit, Varun Abhinay",Thriller
2013,JUN,Moksha,Srikanth Vemulapalli,"Meera Jasmine, Rajeev Mohan, Disha Pandey, Nassar",Horror
2013,JUN,Oh My Love,M J Reddy,"Raja, Nisha",Romance
2013,JUL,Operation Dhuryodhana 2,Nandam Srinivasa Rao,"Jagapathi Babu, Posani Krishna Murali, Shayaji Shinde, Babu Mohan",Political drama
2013,JUL,Pelli Pustakam,Ramakrishna Machakanti,"Rahul, Neethi Taylor",Romance
2013,APR,Vasool Raja,Karthika Gopalakrishnan,"Navdeep, Srihari, Ritu Barmecha, Sathyam Rajesh",Drama
2013,JUL,Kevvu Keka,Devi Prasad,"Allari Naresh, Sharmila Mandre",Action
2014,SEP,Anukshanam,Ram Gopal Varma,"Vishnu Manchu, Navdeep, Tejaswi Madivada, Madhu Shalini, Revathi",Thriller
2014,SEP,Aagadu,Srinu Vaitla,"Mahesh Babu, Tamannaah, Rajendra Prasad, Sonu Sood, Brahmanandam",Action / Drama
2014,SEP,Loukyam,Sriwass,"Gopichand, Rakul Preet Singh, Brahmanandam",Action
2014,OCT,Govindudu Andarivadele,Krishna Vamsi,"Ram Charan, Kajal Agarwal, Prakash Raj, Meka Srikanth, Kamalinee Mukherjee",Drama
2014,OCT,Current Theega,Nageshwara Reddy,"Manchu Manoj, Rakul Preet Singh, Jagapati Babu",Romantic comedy
2014,OCT,Dikkulu Choodaku Ramayya,Trikoti,"Naga Shourya, Sana Makbul, Ajay, Indraja",Romance
2014,OCT,Oka Laila Kosam,Vijay Kumar Konda,"Naga Chaitanya, Pooja Hegde",Romance
2014,OCT,Karthikeya,Chandoo Mondeti,"Nikhil Siddharth, Swati Reddy, Tanikella Bharani, Rao Ramesh",Mystery - Thriller
2014,NOV,Jai Hind 2,Arjun Sarja,"Arjun Sarja, Simran Kapoor, Surveen Chawla, Rahul Dev",Action
2014,SEP,Boy Friend Leni Ammayi Unda,Shiva Nagu,"Bhavani Agarwal, Mega Supreme, Kanchana Maitra",Drama
2014,OCT,Paathasala,Mahi V. Raghav,"Nandu, Anu, Priya, Sirisha, Sai Kiran, Shiva, Sashaank",Thriller
2014,SEP,Power,K. S. Ravindra,"Ravi Teja, Hansika, Regina Cassandra, Sampath Raj",Action / Drama
2014,AUG,Galipatam,Naveen Gandhi,"Aadi, Erica Fernandes, Kristina Akheeva",Romance
2014,SEP,Ganpati Bappa Morya,Ramu Kumar ASK,"Srinadh, Rajasekhar, Mallesh, Riteesh",Drama
2014,SEP,Boochamma Boochodu,Revan Yadu,"Sivaji, Kainaz Motivala, Brahmanandam, Posani Krishna Murali",Suspense Thriller
2014,AUG,Rabhasa,Santosh srinivas,"Jr.NTR, Samantha, Pranitha Subhash",Action / Drama
2014,AUG,Kiraak,Harik Devabhakthuni,"Aniruddh, Chandini Tamilarasan",Romance
2014,AUG,Nee Jathaga Nenundali,Jaya Ravindra,"Sachiin J Joshi, Nazia Hussain, Rao Ramesh",Romance
2014,AUG,Lovers,Harinath,"Sumanth Ashwin, Nanditha",Romance
2014,AUG,Geethanjali,Raj Kiran,"Anjali, Brahmanandam, Srinivasa Reddy",Horror / Comedy
2014,AUG,Janmasthanam,Om Sai Prakash,"Sai Kumar, Roopika, Pavani",Action / Thriller
2014,AUG,Nuvvala Nenila,Trinadha Rao Nakkina,"Varun Sandesh, Poorna",Romance
2014,NOV,Brother of Bommali,B. Chinni Krishna,"Allari Naresh, Karthika Nair",Comedy / Drama
2014,AUG,Chatting,T.S.Kamal,"Abhinaya Krishna, Sunitha",Romance
2014,AUG,Gallo Telinattunde,D. Venkat Suresh,"Ajay, Kousalya",Romance
2014,AUG,Maaya,Neelakanta,"Harshvardhan Rane, Avanthika, Nagababu",Action / Thriller
2014,SEP,Raj Mahal,Appaji Konda,"suryanath, sravan, jeeva, surya, tarjan, sandeepthi, ria",suspense horror
2014,NOV,Joru,Kumar Nagendra,"Sundeep Kishan, Rashi Khanna, Priya Banerjee",Action / Drama
2014,NOV,Rough,C. H. Subba Reddy,"Aadi, Rakul Preet Singh, Srihari, Raghu Babu",Romance Action
2014,NOV,Poga,Shankar Marthand,"Navdeep, Madhu Shalini",Horror
2014,AUG,Adavi Kachina Vennela,Akki Vishwanadha Reddy,"Arvind Krishna, Meenakshi Dixit, Richard Rishi, Pooja Ramachandran",Action / Drama
2014,DEC,,Happy New Year,Farah Khan,Happy New Year
2014,DEC,15 August,Sikandar,N. Linguswamy,Anjaan
2014,DEC,20 June,Indrudu,Thiru,Naan Sigappu Manithan
2014,DEC,21 March,Bhadram,,Thegidi
2014,DEC,14 March,Dheerudu,Boopathy Pandian,Pattathu Yaanai
2014,DEC,21 February,Aaha Kalyanam,Gokul,Aaha Kalyanam
2014,DEC,Chinnadana Nee Kosam,A. Karunakaran,"Nithiin, Mishti, Nassar, Naresh, Sithara, Ali",Romance
2014,DEC,Mukunda,Srikanth Addala,"Varun Tej, Pooja Hegde, Prakash Raj, Rao Ramesh, Brahmanandam",Drama
2014,DEC,O Manishi Katha,Radha Swamy Avula,"Jagapati Babu, Kalyani",Drama
2014,DEC,Panchabhoothalu Sakshiga,Kalicharan Maadina,"Kalicharan, Manashwini, Chitram srinu, Bindu",Horror
2014,DEC,Saheba Subramanyam,Sasikiran Naryana,"Dilip Kumar, Priyanka Gor, Rao Ramesh",Romance
2014,NOV,Parampara,Madhu Mahankali,"Naresh, Aamani, Raavi Kondala Rao",Family drama
2014,DEC,Ee Varsham Sakshiga,Ramana Mogili,"Varun Sandesh, Haripriya",Romance
2014,DEC,The End,Rahul Sankrityan,"Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy",Horror
2014,DEC,Lakshmi Raave Maa Intiki,Nandyala Ravi,"Naga Shourya, Avika Gor",Romance
2014,DEC,Chakkiligintha,Vema Reddy,"Sumanth Ashwin, Rehana",Romance
2014,NOV,Ala Ela,Aneesh Krishna,"Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel",Comedy
2014,NOV,Yamaleela 2,S. V. Krishna Reddy,"Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi",Fantasy drama
2014,NOV,33 Prema Kathalu,Siva Ganesh,"Vivek, Sunitha Marasiar, Sravani",Romance
2014,NOV,Naa Bangaaru Talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy",Drama
2014,NOV,Rowdy Fellow,Krishna Chaitanya,"Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh",Action / Drama
2014,NOV,Ice Cream 2,Ram Gopal Varma,"J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva",Thriller
2014,NOV,Atreya,Shanthikumar Chilumula,"Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi",Children
2014,NOV,Pilla Nuvvu Leni Jeevitham,A. S. Ravi Kumar Chowdhary,"Sai Dharam Tej, Regina Cassandra, Jagapati Babu, Prakash Raj, Shayaji Shinde",Action drama
2014,NOV,Erra Bus,Dasari Narayana Rao,"Manchu Vishnu, Catherine Tresa, Brahmanandam, Dasari Narayana Rao",Romantic Drama
2014,DEC,Vundile Manchi Kalam Mundu Mundura,Arun Daasyam,"Sudhakar Komakula, Avantika Mohan",Drama
2014,AUG,Run Raja Run,Sujeeth,"Sharwanand, Seerat Kapoor, Adivi Sesh, Sampath Raj, Kota Srinivasa Rao, Vennela Kishore",Action
2014,MAR,Eduruleni Alexander,Raja Reddy,"Taraka Ratna, Komal Jha, Kumkum",Action – Romance
2014,JUL, Ice Cream,Ram Gopal Varma,"Navdeep, Tejaswi Madivada",Horror / Thriller
2014,MAR,Boy Meets Girl Tholiprema Katha,Vasanth Dayakar,"Siddharth, Nikkitha, Kanika Tiwari",Romance
2014,MAR,Legend,Boyapati Srinu,"Nandamuri Balakrishna, Jagapathi Babu, Radhika Apte, Sonal Chauhan, Kalyani",Action/Drama
2014,MAR,Savior,Irene Thalluri,"Noel Sanjith, Siyona Sneha, Johnny Lever, Surya, Rama Prabha, Goutham Raj, Melkote",Spiritual / Drama / Comedy
2014,MAR,Veta,Ashok Alle,"Tarun Kumar, Srikanth, Jasmin Bhasin, Madhurima",Action
2014,MAR,Hrudayam Ekkadunnadi,V. I.,,
2014,MAR,Kamalatho Na Prayanam,Narasimha Nandi,"Sivaji, Archana, Pavala Shyamala",Romantic drama
2014,MAR,Yuddham,Bharathi Ganesh,"Tarun Kumar, Yami Gautam, Srihari",Action – Romance
2014,MAR,To Let 4 Bachelors Only,Ramana Geddam,"Kiran, Kalyan, Bharadwaj, Madhu, Sirisha, Latha, Narasing",Adult comedy
2014,MAR,Nuvve Naa Bangaram,Ram Venky,"Sai Krishna, Sheena Shahabadi, Nisha Kothari, Suman",Romance
2014,MAR,Bangaru Kodipetta,Raj Pippalla,"Navdeep, Swati Reddy, Santhosh, Ram",Romantic drama
2014,FEB,Bhimavaram Bullodu,Udayasankar,"Sunil, Esther Nooronha",Romantic comedy
2014,FEB,Alibaba Okkade Donga,Phani Prakash,"Ali, Suja Varunee, Allari Naresh (Voice-over)",Comedy
2014,MAR,Special Class,K. R. Venki,"Harish, Ananya Thakur, Vaibhav, Allari Subhashini",Adult romance
2014,FEB,Naa Rakumarudu,T. Satya,"Naveen Chandra, Ritu Varma",Romance
2014,FEB,Hum Tum,Ram Bimana,"Manish, Simran, Nikhil Chakravathi, Aishwariya, M. S. Narayana, Dharmavarapu Subramanyam",Romance
2014,FEB,Dil Deewana,Thumma Kiran,"Raj Arun Reddy, Rohit Reddy, Abha Singhal, Neha Deshpande",Romance
2014,FEB,Malligadu Marriage Bureau,Uday Raj,"Srikanth, Brahmanandam, Manochitra",Comedy
2014,FEB,Paisa,Krishna Vamsi,"Nani, Catherine Tresa, Siddhika Sharma, Charanraj, Bharath Reddy, Tabar",Romance / Comedy
2014,JAN,Pandavulu Pandavulu Tummeda,Sriwass,"Mohan Babu, Manchu Vishnu, Manchu Manoj, Raveena Tandon, Hansika Motwani, Pranitha Subhash",Action/Romance
2014,JAN,Heart Attack,Puri Jagannadh,"Nithiin, Adah Sharma",Action/Romance
2014,JAN,Manasunu Maaya Cheyake,Suresh P Kumar,"Prince, Sethu, Richa Panai, Disha Pandey, Manobala",Romance
2014,JAN,Yevadu,Vamsi Paidipally,"Ram Charan Teja, Shruti Hassan, Allu Arjun, Sai Kumar, Amy Jackson",Action/Romance
2014,JAN,1: Nenokkadine,Sukumar,"Mahesh Babu, Kriti Sanon",Psychological action thriller
2014,JAN,Kshatriya,K. Uday Chandu,"Srikanth, Kumkum, Kota Srinivasa Rao, Rao Ramesh",Action
2014,JAN,Celebrity,KVM Krishna,"Ammu Prasad, Viswadha, Bindu, Deepesh Reddy, Sai Kanth",Drama
2014,JUL,Alludu Seenu,V.V. Vinayak,"Bellamkonda Sreenivas, Samantha, Prakash Raj, Brahmanandam",Action
2014,FEB,Love Dot Com,Raja Vannem Reddy,"Arya Sandeep, Neethi Taylor, Dharmavarapu Subramanyam",Romance
2014,APR,Rowdy,Ram Gopal Varma,"Mohan Babu, Vishnu Manchu, Jayasudha, Shanvi",Action
2014,JAN,Medaram Jathara,Sheshidhar,Suman,Drama
2014,APR,Hrudaya Kaleyam,Steven Shankar,"Sampoornesh Babu, Ishika Singh, Kavya Kumari",Comedy Action
2014,APR,Vichakshana,Deepak Nyathi,"Dheeraj, Padmini, Nandeeshwar Goud, Jayapradha, JayaLakshmi, Surender Goud, PadmaJayanthi, Mukesh, Rizwan, Dharmender",Action
2014,JUL,Aa Aiduguru,Anil Gurudu,"Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan",Action
2014,JUL,Ra Ra Krishnayya ,Mahesh. P,"Sundeep Kishan, Jagapathi Babu, Regina Cassandra, Kalyani, Tanikella Bharani",Romance
2014,JUN,Inka Emi Anukoleduu,Sreekara Babu,"Rahman, Deshpathi, Shreeraj, Archana",Romance
2014,JUN,Autonagar Surya,Deva Katta,"Naga Chaitanya, Samantha Ruth Prabhu, Saikumar",Social Drama
2014,JUN,Oohalu Gusagusalade,Srinivas Avasarala,"Naga Shourya, Rashi Khanna",Romance / Drama
2014,JUN,Jabilli Kosam Akasamalle,Raj Narendra,"Sri Hari, Anoop Tej, Smrithika Acharya",Action / Romance
2014,JUN,Jump Jilani,E. Satti Babu,"Allari Naresh, Isha Chawla, Swathi Dixit, Posani Krishna Murali, Raghu Babu",Comedy
2014,JUN,Veedu Chaala Worst,Venkat Pampana,"Taraka Ratna, Nandan, Neeraj, Swapna",Socio-Fantasy
2014,JUN,Ulavacharu Biryani,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Samyuktha Horanadu","Comedy, Drama"
2014,MAY,Prema Geema Jantha Nai,Subbu R. V.,"Sreeram Chandra, Barbie, Chalapathi Rao, Bhanuchander",Romance
2014,MAY,Manam,Vikram Kumar,"Akkineni Nageswara Rao, Akkineni Nagarjuna, Akkineni Naga Chaitanya, Shriya Saran, Samantha",Drama
2014,MAY,Pyar Mein Padipoyane,Ravi Kumar Chavali,"Aadi, Shanvi Srivastava",Romance
2014,JUN,Maine Pyaar Kiya,Pradeep Madugula,"Pradeep Ryan, Isha Talwar, Madhumitha",Romance
2014,MAY,Hrudaya Kaleyam (Re-released),Steven Shankar,"Sampoornesh Babu, Ishika Singh, Kavya Kumari",Comedy Action
2014,MAY,April Fool,Krishnaswamy Srikanth Iyengar,"Jagapati Babu, Bhoomika Chawla, Gulshan Grover, Randhir Reddy",Comedy Fantasy
2014,APR,Laddu Babu,Ravi Babu,"Allari Naresh, Poorna, Bhumika Chawla, Brahmanandam, M. S. Narayana, Ali",Comedy
2014,JUL,Drushyam,Sripriya,"Venkatesh, Meena, Nadhiya, Naresh, Kalabhavan Shajon",Action / Drama
2014,APR,Race Gurram,Surender Reddy,"Allu Arjun, Shruti Hassan, Shaam, Saloni Aswani, Prakash Raj, Brahmanandam, Suhasini Maniratnam, M. S. Narayana",Action
2014,APR,Prathighatana,Tammareddy Bharadwaja,"Charmy Kaur, Reshma Rathore, Raghu Babu, Posani Krishna Murali, Krishna Bhagawan",Action / Drama
2014,APR,Prabhanjanam,Bhaskara Rao Vendrati,"Ajmal Ameer, Sandesh, Aarushi, Panchi Bora, Nassar, Kota Srinivasa Rao",Action
2014,APR,Avatharam,Kodi Ramakrishna,"Richard Rishi, Radhika Kumaraswamy, Bhanupriya",Devotional / Drama
2014,APR,Prathinidhi,Prashanth Mandava,"Nara Rohit, Shubra Aiyyappa, Kota Srinivasa Rao, Jaya Prakash Reddy, Vishnu",Action
2014,APR,Galata,Krishna,"Srinivas, Haripriya, Saikumar, Nagendra Babu, Ali",Romance/ Comedy
2014,MAY,Anaamika,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy",Thriller
2014,MAY,Kotha Janta,Maruthi,"Allu Sirish, Regina Cassandra, Posani Krishna Murali, Rao Ramesh",Romance / Comedy
2014,APR,Chandamama Kathalu,Praveen Sattaru,"Krishnudu, Lakshmi Manchu, Chaitanya, Saikumar, Naresh",Anthology
2015,SEP,Courier Boy Kalyan,Premsai,"Nithiin, Yami Gautam",Romance
2015,SEP,Subramanyam For Sale,Harish Shankar,"Sai Dharam Tej, Regina Cassandra, Adah Sharma, Naga Babu",Romance
2015,SEP,Bale Bale Magadivoy,Maruthi,"Nani, Lavanya Tripathi",Comedy Romance
2015,SEP,Dynamite,Deva Katta,"Manchu Vishnu, Pranitha Subhash, J. D. Chakravarthy",action
2015,AUG,Best Actors,Arun Pawar,"Nandu(Anand Krishna), Madhurima, Madhunandan, Kesha, Varshini Soundaryarajan",Rom Com
2015,AUG,Kick 2,Surender Reddy,"Ravi Teja, Rakul Preet Singh, Ravi Kishan, Brahmanandam, Rajpal Yadav",Action thriller
2015,AUG,Srimanthudu,Koratala Siva,"Mahesh Babu, Shruti Haasan, Jagapathi Babu, Mukesh Rishi, Sampath Raj, Rajendra Prasad",Action/Drama
2015,JUL,James Bond,Sai Kishore Macha,"Allari Naresh, Sakshi Chaudhary",Comedy
2015,JUL,Baahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana, Tamannaah, Anushka Shetty, Satyaraj, Ramya Krishnan, Nassar",Epic-Historical Film
2015,JUN,Tippu,Jagadish,"Karthik, Kanika, Chalapathi Rao, Krishna Bhagavan",Romance
2015,JUN,Tiger,Anand,"Sundeep Kishan, Seerat Kapoor, Rahul Ravindran",Romance
2015,JUN,Jadoogadu,Yogie,"Naga Shourya, Sonarika, Ajay, Kota Srinivasa Rao, Saptagiri",Romance
2015,JUN,Vinavayya Ramayya,Prasad,"Anvesh, Kruthika, Prakash Raj, Brahmanandam",Action
2015,JUN,Krishnamma Kalipindi Iddarini,R. Chandru,"Sudheer Babu, Nanditha, M.S. Narayana, Saptagiri",Romance
2015,JUN,Kerintha,Kiran,"Sumanth, Sri Divya, Tejaswi",Romance
